"date-time","type","length","bbs_time","ins_time","sel_time","mer_time","qui_time"
"3/6/2020 2:53:46","desordenado",100,0.000021,0.000007,0.000016,0.000012,0.000007
"3/6/2020 2:53:46","ordenado",100,0.000001,0.000001,0.000013,0.000006,0.000003
"3/6/2020 2:53:46","parcialmente desordenado",100,0.000001,0.000001,0.000013,0.000006,0.000003
"3/6/2020 2:53:47","desordenado",100,0.000021,0.000007,0.000016,0.000012,0.000006
"3/6/2020 2:53:47","ordenado",100,0.000001,0.000001,0.000013,0.000006,0.000003
"3/6/2020 2:53:47","parcialmente desordenado",100,0.000001,0.000001,0.000013,0.000006,0.000003
"3/6/2020 2:53:55","desordenado",500,0.000440,0.000139,0.000307,0.000093,0.000037
"3/6/2020 2:53:55","ordenado",500,0.000002,0.000002,0.000297,0.000038,0.000011
"3/6/2020 2:53:55","parcialmente desordenado",500,0.000052,0.000002,0.000288,0.000037,0.000011
"3/6/2020 2:53:55","desordenado",500,0.000436,0.000139,0.000309,0.000097,0.000041
"3/6/2020 2:53:55","ordenado",500,0.000002,0.000003,0.000336,0.000039,0.000011
"3/6/2020 2:53:55","parcialmente desordenado",500,0.000052,0.000002,0.000288,0.000037,0.000011
"3/6/2020 2:53:57","desordenado",500,0.000486,0.000160,0.000308,0.000108,0.000036
"3/6/2020 2:53:57","ordenado",500,0.000002,0.000002,0.000324,0.000058,0.000015
"3/6/2020 2:53:57","parcialmente desordenado",500,0.000212,0.000003,0.000316,0.000056,0.000016
"3/6/2020 2:54:12","desordenado",1000,0.002404,0.000867,0.002204,0.000198,0.000083
"3/6/2020 2:54:12","ordenado",1000,0.000009,0.000008,0.001237,0.000210,0.000040
"3/6/2020 2:54:12","parcialmente desordenado",1000,0.000006,0.000005,0.001206,0.000084,0.000027
"3/6/2020 2:54:13","desordenado",1000,0.001766,0.000566,0.001233,0.000175,0.000078
"3/6/2020 2:54:13","ordenado",1000,0.000003,0.000004,0.001159,0.000083,0.000024
"3/6/2020 2:54:13","parcialmente desordenado",1000,0.000222,0.000007,0.001192,0.000085,0.000025
"3/6/2020 2:54:14","desordenado",1000,0.002104,0.000687,0.001199,0.000177,0.000078
"3/6/2020 2:54:14","ordenado",1000,0.000003,0.000004,0.001137,0.000085,0.000023
"3/6/2020 2:54:14","parcialmente desordenado",1000,0.000006,0.000005,0.001139,0.000081,0.000028
"3/6/2020 2:54:29","desordenado",5000,0.082643,0.021944,0.030057,0.000862,0.000450
"3/6/2020 2:54:29","ordenado",5000,0.000011,0.000018,0.038409,0.007374,0.000137
"3/6/2020 2:54:29","parcialmente desordenado",5000,0.021999,0.000025,0.028694,0.000480,0.000165
"3/6/2020 2:54:29","desordenado",5000,0.052381,0.015690,0.029124,0.000923,0.000441
"3/6/2020 2:54:29","ordenado",5000,0.000013,0.000019,0.028807,0.000486,0.000134
"3/6/2020 2:54:29","parcialmente desordenado",5000,0.024404,0.000026,0.028793,0.000521,0.000156
"3/6/2020 2:54:30","desordenado",5000,0.069925,0.015672,0.029620,0.000859,0.000458
"3/6/2020 2:54:30","ordenado",5000,0.000012,0.000018,0.028439,0.000485,0.000155
"3/6/2020 2:54:30","parcialmente desordenado",5000,0.020172,0.000024,0.028715,0.000592,0.000151
"3/6/2020 2:54:46","desordenado",10000,0.248949,0.057114,0.133238,0.001772,0.000944
"3/6/2020 2:54:46","ordenado",10000,0.000022,0.000035,0.115836,0.000997,0.000292
"3/6/2020 2:54:46","parcialmente desordenado",10000,0.112023,0.000045,0.114648,0.000991,0.000314
"3/6/2020 2:54:48","desordenado",10000,0.266334,0.056297,0.133316,0.001705,0.001351
"3/6/2020 2:54:48","ordenado",10000,0.000025,0.000035,0.114615,0.001025,0.000301
"3/6/2020 2:54:48","parcialmente desordenado",10000,0.025952,0.000037,0.133207,0.001034,0.000319
"3/6/2020 2:54:49","desordenado",10000,0.245835,0.056819,0.119507,0.001714,0.000950
"3/6/2020 2:54:49","ordenado",10000,0.000023,0.000033,0.133141,0.001006,0.000290
"3/6/2020 2:54:49","parcialmente desordenado",10000,0.101739,0.000053,0.130002,0.001028,0.000344
"3/6/2020 2:55:16","desordenado",50000,7.153739,1.565407,3.130476,0.009674,0.005501
"3/6/2020 2:55:16","ordenado",50000,0.000116,0.000170,3.111363,0.005528,0.001738
"3/6/2020 2:55:16","parcialmente desordenado",50000,0.519383,0.000184,3.101053,0.005524,0.001767
"3/6/2020 2:55:40","desordenado",50000,7.081675,1.555588,3.099311,0.009604,0.005438
"3/6/2020 2:55:40","ordenado",50000,0.000114,0.000220,3.106355,0.005446,0.001756
"3/6/2020 2:55:40","parcialmente desordenado",50000,2.954288,0.000273,3.100291,0.005820,0.001963
"3/6/2020 2:56:7","desordenado",50000,7.229272,1.549562,3.253287,0.012996,0.007155
"3/6/2020 2:56:7","ordenado",50000,0.000169,0.000249,3.119268,0.005554,0.001916
"3/6/2020 2:56:7","parcialmente desordenado",50000,2.665918,0.000347,3.299618,0.006309,0.001905
"3/6/2020 2:57:11","desordenado",60000,10.235898,2.317992,4.466155,0.013327,0.006867
"3/6/2020 2:57:11","ordenado",60000,0.000135,0.000203,4.509830,0.007855,0.002037
"3/6/2020 2:57:11","parcialmente desordenado",60000,2.775915,0.000294,4.506144,0.007423,0.002412
"3/6/2020 2:57:43","desordenado",60000,10.173392,2.266334,4.464181,0.011903,0.006790
"3/6/2020 2:57:43","ordenado",60000,0.000146,0.000228,4.475700,0.006981,0.002533
"3/6/2020 2:57:43","parcialmente desordenado",60000,3.333921,0.000271,4.508908,0.007009,0.002237
"3/6/2020 3:0:11","desordenado",100000,29.052275,6.280869,12.477428,0.038385,0.011572
"3/6/2020 3:0:11","ordenado",100000,0.000222,0.000333,12.331093,0.011750,0.003759
"3/6/2020 3:0:11","parcialmente desordenado",100000,11.517519,0.000610,12.454834,0.012062,0.004054
"3/6/2020 3:1:25","desordenado",100000,28.778631,6.236601,12.607698,0.022659,0.011574
"3/6/2020 3:1:25","ordenado",100000,0.000224,0.000424,12.486566,0.011721,0.003752
"3/6/2020 3:1:25","parcialmente desordenado",100000,0.957721,0.000374,12.360162,0.012150,0.003769
"3/6/2020 3:12:1","desordenado",200000,106.558952,23.050001,46.519951,0.065910,0.027697
"3/6/2020 3:12:1","ordenado",200000,0.000459,0.000671,46.316486,0.024774,0.007943
"3/6/2020 3:12:1","parcialmente desordenado",200000,0.561993,0.000813,46.346966,0.039563,0.009020
"3/6/2020 3:17:4","desordenado",200000,106.642548,23.234308,46.416855,0.049750,0.024055
"3/6/2020 3:17:4","ordenado",200000,0.000438,0.000714,46.491264,0.028242,0.008108
"3/6/2020 3:17:4","parcialmente desordenado",200000,33.373405,0.000989,46.371803,0.028319,0.008790
"3/6/2020 4:23:40","desordenado",500000,679.841919,142.103775,289.100006,0.124496,0.065749
"3/6/2020 4:23:40","ordenado",500000,0.001370,0.003723,289.106537,0.069490,0.022571
"3/6/2020 4:23:40","parcialmente desordenado",500000,156.586533,0.004091,290.344818,0.066316,0.023176
"3/6/2020 4:39:25","desordenado",354874,337.562500,71.074501,144.783875,0.088933,0.045711
"3/6/2020 4:39:25","ordenado",324688,0.000716,0.002340,120.539299,0.041781,0.014248
"3/6/2020 4:39:25","parcialmente desordenado",352467,128.566910,0.003144,142.362381,0.046415,0.018038
"8/6/2020 18:39:46","desordenado",10,0.000001,0.000001,0.000001,0.000002,0.000001
"8/6/2020 18:39:46","ordenado",10,0.000001,0.000001,0.000001,0.000002,0.000001
"8/6/2020 18:39:46","parcialmente desordenado",10,0.000001,0.000001,0.000001,0.000002,0.000002
"8/6/2020 18:39:59","desordenado",100,0.000024,0.000008,0.000016,0.000013,0.000010
"8/6/2020 18:39:59","ordenado",100,0.000001,0.000001,0.000055,0.000042,0.000004
"8/6/2020 18:39:59","parcialmente desordenado",100,0.000002,0.000004,0.000015,0.000016,0.000005
"8/6/2020 18:40:7","desordenado",1000,0.001644,0.000601,0.001186,0.000207,0.000092
"8/6/2020 18:40:7","ordenado",1000,0.000003,0.000004,0.001163,0.000085,0.000027
"8/6/2020 18:40:7","parcialmente desordenado",1000,0.002073,0.000009,0.001352,0.000088,0.000034
"8/6/2020 18:40:15","desordenado",10000,0.238785,0.061036,0.122614,0.002982,0.000951
"8/6/2020 18:40:15","ordenado",10000,0.000026,0.000051,0.119421,0.001004,0.000314
"8/6/2020 18:40:15","parcialmente desordenado",10000,0.080783,0.000048,0.120391,0.001299,0.000324
"8/6/2020 18:41:44","desordenado",100000,28.678873,6.854113,11.963376,0.023493,0.014309
"8/6/2020 18:41:44","ordenado",100000,0.000335,0.000368,11.940102,0.015745,0.004897
"8/6/2020 18:41:44","parcialmente desordenado",100000,10.695253,0.000579,11.924920,0.014523,0.004739
"8/6/2020 21:10:2","desordenado",1000000,3054.296875,672.679321,1310.838501,0.384207,0.154016
"8/6/2020 21:10:2","ordenado",1000000,0.014954,0.034445,1299.039307,0.191146,0.061240
"8/6/2020 21:10:2","parcialmente desordenado",1000000,1153.429688,0.043991,1367.561523,0.203336,0.072653